node_1,node_2
0,24208
0,24445
0,18055
0,26575
0,12596
0,28092
0,14484
0,14809
0,47328
0,32542
0,36124
0,35300
0,2570
1,5463
1,14232
1,4833
1,36852
1,37620
2,45548
2,34493
2,7694
2,27683
2,41624
2,21711
2,9769
2,34620
2,44553
2,38102
2,34634
2,16672
2,41498
2,25355
2,33700
2,10124
2,26250
3,26518
3,39718
3,13713
3,34114
3,19454
3,45114
3,4429
3,2573
3,46000
3,27675
3,28430
3,6627
3,46753
4,45360
4,12512
4,39244
4,46144
4,13028
4,1774
4,42738
4,15633
4,28266
4,31624
4,13495
4,33403
4,9077
4,2444
4,27914
4,7058
4,2385
4,45791
4,43644
4,41120
4,33275
4,25213
4,3899
4,39561
4,13177
4,26791
5,17133
5,6400
5,38723
5,10656
5,11090
5,30907
5,34224
5,33870
5,37933
5,30022
5,23361
5,37363
5,36551
5,15444
5,14970
5,20687
5,2006
5,21101
5,8047
5,18702
6,15555
6,19884
6,1384
6,11296
6,30595
6,13352
6,40934
7,29097
7,28466
7,1743
7,31566
7,3590
7,583
7,10783
7,26843
7,8186
7,8342
7,35181
7,14679
8,31932
8,15161
8,3348
8,35935
8,14906
8,10399
8,32970
8,19811
8,32635
8,44111
8,38033
9,35004
9,35711
9,24486
9,23531
9,17994
9,21009
9,7563
9,45774
9,43036
9,34010
9,730
10,42558
10,24774
10,42656
10,899
10,35605
10,43238
10,19031
11,42779
11,32765
11,44990
11,44172
11,22618
11,21470
11,23542
11,1008
11,23076
11,1489
11,5298
11,23483
11,42089
12,4122
12,3467
12,35488
12,8526
12,15289
12,7431
12,10057
12,8416
12,43436
12,3792
12,29132
13,8204
13,17712
14,5218
14,34474
14,24336
14,31224
14,27211
14,20162
14,8075
14,8015
14,11458
14,32210
14,111
14,22462
14,8830
14,2739
14,31705
14,6308
14,47003
23023,19532
23023,14055
23023,20312
23023,30120
23023,33623
16,30206
16,9445
16,10639
16,38611
16,2688
16,43782
16,8363
16,8426
16,43801
17,17420
17,23883
17,43305
17,21673
17,24890
17,15382
17,37452
17,27153
17,36769
17,2180
17,5386
17,15975
17,7325
17,3715
17,10530
17,7865
17,21647
17,19057
17,33262
17,43974
17,24224
17,18823
17,25268
17,30913
17,27686
17,46446
18,36927
18,32311
18,39870
18,15219
19,21147
19,17386
19,7352
19,42265
19,2523
19,13058
19,38287
22,46286
22,2254
22,26185
22,24844
22,23880
22,5521
22,14539
22,2618
22,16492
22,26920
22,20152
22,10721
22,26899
22,44726
22,118
22,23767
22,47108
22,2288
22,40057
22,27693
22,34214
22,17804
22,26328
23,34683
23,19485
23,37361
24,25796
24,11186
24,16509
24,34882
24,13850
24,46827
24,7447
24,37642
24,655
24,17594
24,78
24,25631
24,37508
24,19081
24,24750
24,26470
24,31071
24,19975
24,17622
24,20136
24,36336
34401,1564
34401,38525
25,15170
25,38806
25,13380
25,1060
25,39877
25,3914
25,22790
25,25145
25,8041
25,17328
25,8543
25,26533
25,19539
25,1226
25,18202
25,42713
25,45631
25,29536
25,10626
25,2163
25,27914
25,1651
25,12007
25,13006
25,23592
25,5241
25,26832
25,16163
25,39107
25,11837
25,11829
25,29245
25,30582
25,42622
25,4251
25,23199
26,21841
26,24841
26,32885
26,11728
26,34780
26,36106
26,42102
26,39505
26,9623
26,16781
26,661
26,16304
30879,15800
30879,27851
30879,29910
30879,41516
30879,44622
30879,8645
30879,32603
30879,40458
30879,41052
30879,1811
30879,26175
30879,29524
30879,15140
30879,43174
30879,37654
30879,45013
28,1375
28,41885
28,21786
28,32586
28,7798
28,719
29,13220
29,5319
29,4904
29,9910
29,22010
31,35610
31,16783
32,2279
33,31603
33,28868
33,23543
33,8756
33,24153
33,40590
34,4892
34,29028
34,12953
34,11242
34,46326
34,2860
34,44270
35,34846
35,32846
35,31477
35,14821
35,17701
35,36507
35,34901
35,12299
35,40868
35,331
36,6226
36,29511
36,36733
36,5614
36,5083
36,26709
36,20688
36,35455
36,24602
36,37181
36,44936
37,37348
37,23785
37,44150
37,6699
37,11658
37,3669
201,5382
201,2044
201,14123
201,6060
201,38661
201,33914
201,36863
201,24187
39,24166
39,14348
39,20651
39,11501
39,37331
39,3549
39,3067
39,6017
39,41953
39,27178
39,10514
39,13039
39,38462
39,43210
39,46900
41,37108
41,7151
41,11685
41,36084
41,7885
41,25295
41,5654
41,24747
41,9228
41,38729
41,32015
41,39264
41,13214
41,35231
41,1504
41,1751
41,41779
42,29115
42,11597
42,301
42,2686
42,9570
42,20989
42,20248
42,2853
42,5345
43,31834
43,22595
43,7874
43,11438
43,39695
43,22508
43,40003
43,26191
43,24622
43,1899
43,15120
44,37084
44,16253
44,8928
44,45304
44,20520
44,18455
44,34866
44,7028
44,45631
44,2071
44,25852
44,26470
44,13302
44,31186
44,23292
44,24700
45,22809
45,39053
45,24067
45,7466
45,25429
45,13258
45,36755
45,5247
45,41583
45,2493
45,2747
45,18935
45,1538
45,47217
45,13165
46,5600
46,5517
46,35849
47,6976
47,30636
47,19492
47,18401
47,45505
47,43537
47,18700
47,41241
47,27852
47,5020
47,31701
47,21888
47,38803
47,19100
48,14343
48,4609
48,16594
48,13914
48,1948
49,11476
49,43189
49,44701
49,36688
50,12434
50,46428
50,22970
50,27269
50,29209
50,12270
50,10751
50,41357
52,45086
52,41461
52,17312
52,33173
52,43103
52,19523
52,46138
52,13784
52,11564
52,29723
52,5390
52,16879
52,13924
52,35660
52,3879
52,35554
53,25737
53,8914
53,7883
53,31850
53,35280
53,15488
53,37377
53,17196
53,27740
53,2691
53,24231
54,44737
54,4411
54,11814
54,13366
54,37667
54,19620
55,44323
55,40773
55,39917
55,11549
55,28220
55,44653
55,36211
55,28809
55,26790
56,11379
56,12825
56,42312
56,33772
56,45768
57,861
57,26394
57,23176
57,30346
57,31627
57,41630
57,26505
57,35179
57,42582
57,40841
58,36779
58,31834
58,1281
58,413
58,38492
58,9260
58,20305
58,25876
58,42780
58,5235
58,45747
58,43536
58,26191
58,1381
58,33345
17151,15713
17151,36604
17151,4537
17151,26039
60,7627
60,11872
60,31355
60,17992
60,7154
60,44410
60,4888
60,9195
60,10291
60,11826
60,5904
60,424
60,11908
60,28805
60,39784
61,32836
61,32704
62,12209
62,36543
62,1189
62,25107
62,4457
62,4991
62,19534
62,13993
62,26284
62,17518
62,29137
62,3988
62,13441
62,21556
62,42048
62,17019
63,31035
63,43411
63,39887
63,37865
63,32635
63,44502
63,43987
64,2070
64,24548
64,43083
65,24962
65,2793
65,42545
65,39467
65,1917
65,18512
65,579
65,4875
65,17971
65,9295
65,7660
65,19502
65,18294
65,26582
65,6851
65,29742
65,46678
65,33311
65,35294
66,37993
66,34824
66,38845
66,23528
66,23810
66,2514
66,21453
66,40367
66,45816
66,45112
66,15767
66,22842
66,42505
66,19411
67,2684
67,19826
67,39421
67,45862
67,47467
67,19492
67,34150
67,36164
67,3973
68,6839
68,41720
68,24094
68,46274
68,8979
68,33114
68,31904
68,16493
68,18278
68,16015
68,24508
68,23953
68,38627
68,8424
68,17396
68,47046
68,7684
68,5656
68,34112
68,8439
68,8516
68,34442
68,21137
68,5551
69,35953
69,16601
69,12145
69,24743
69,16735
69,8096
69,13738
69,42537
69,24891
69,31722
69,33285
69,25068
69,4078
69,22988
70,36534
70,8067
70,17192
70,9791
70,4506
70,20119
70,166
70,32987
71,11893
71,10870
71,28727
71,20317
71,1409
71,39876
71,3354
71,37404
71,24301
71,36555
72,13022
72,35974
72,3418
72,14671
72,7659
72,23831
72,19868
72,44461
72,47015
72,24259
72,18556
72,29782
72,31390
72,19815
72,27186
72,37704
72,35706
72,17932
73,27768
73,10466
73,19306
73,7882
73,46236
73,42480
74,9232
74,9223
74,27782
74,24911
74,22648
76,25796
76,42422
76,17200
46780,28811
46780,12374
46780,1929
46780,351
46780,9187
46780,10995
46780,13242
46780,12120
46780,14038
46780,38431
77,7572
77,2081
77,47199
77,39558
77,24445
78,11553
78,16601
78,42678
78,32438
78,41163
78,27965
78,33156
78,45715
78,1476
78,44483
78,16444
78,25287
78,792
78,40540
78,19954
78,37631
79,33636
79,17200
79,36220
79,41751
79,45192
79,24230
79,14729
79,23798
79,33546
80,21050
80,12616
80,31013
80,45777
80,21214
80,19591
80,34177
80,11081
80,26410
80,28289
80,39915
80,8050
80,38854
80,43303
80,22343
80,21868
80,18767
80,10580
81,20575
81,26377
81,38576
81,36231
82,16665
82,17551
82,8712
82,35818
82,359
82,23675
82,42752
83,2649
83,28719
83,7149
84,23237
84,20185
84,24742
84,43761
84,25024
84,20702
84,35266
84,182
84,27761
84,30515
84,25397
84,43624
84,40029
84,31950
84,18728
84,26374
84,36711
84,41959
84,4137
84,28235
84,36670
85,454
85,10239
85,29882
85,32395
85,22075
85,26616
85,43754
85,20209
85,45615
85,30853
85,44317
85,37130
85,29361
85,25506
85,16954
85,6811
85,9016
85,1870
85,28562
85,13171
85,30193
85,45069
85,35845
85,4975
85,8197
85,15016
85,15728
85,42318
85,44277
85,662
85,8287
85,32473
85,8309
85,39961
85,28136
85,12788
85,33504
85,23932
85,34174
85,45255
85,21131
85,22302
85,26414
85,665
85,12009
85,10063
85,18680
85,898
85,9506
85,43472
85,41243
85,12347
85,42181
85,35001
85,818
85,6261
85,25044
85,15175
85,29515
85,40688
85,13067
85,18785
85,24130
86,32088
87,17382
87,33682
87,19287
87,36541
88,4757
88,34243
88,32001
88,32719
88,33905
88,45388
88,1058
88,9791
88,40763
88,4506
88,45018
89,47306
89,35371
89,40148
89,15181
89,25766
89,45960
89,17242
89,40388
89,41019
89,1250
89,17549
89,2139
89,1701
89,29236
89,36496
89,450
89,36065
89,41090
89,28994
89,43964
89,31190
90,39522
90,14941
90,37958
90,14539
